TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Drip Score,Core,Drip Grade,Number,Face Decoration,Hat,Glasses,Necklace,Earring,NUM_TRAITS,RARITY_SCORE,Rank
4238,Milady 4238,3950.6326599326603,6338.940572663425,4906.797281756404,4025.172898799314,9356.761562998405,7824.208718846379,2166.328917609047,4685.38644304682,5470.10675990676,5214.8351111111115,9689.0,29115.084367245658,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,100015.46365791633,8298
6206,Milady 6206,3950.6326599326603,5253.359749272443,4841.002166064983,4731.20120967742,10228.50953470633,7864.853958944282,2166.328917609047,4698.04964964965,5470.10675990676,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,28461.804730139476,3975.563593240439,100002.09578642754,8299
8590,Milady 8590,3961.302835921675,6338.940572663425,4906.797281756404,24242.518595041325,8901.567757230916,9736.234000622342,2166.328917609047,4698.04964964965,4360.837723577236,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,11490.639245929735,99997.8505198484,8300
5317,Milady 5317,3961.302835921675,5253.359749272443,18191.285271317833,4091.136331938633,10292.437719298247,7367.320618475787,2166.328917609047,3923.878939887969,5602.329573261713,8308.287484510534,9689.0,994.1540579756193,13333.385227272727,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99991.66600758486,8301
2159,Milady 2159,3961.302835921675,5571.405033238366,4906.797281756404,4091.136331938633,8713.174788823912,8776.721084618981,2166.328917609047,4698.04964964965,21653.294579008074,5214.8351111111115,9689.0,994.1540579756193,12736.367978290364,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99990.02693078447,8302
4400,Milady 4400,9253.453470031547,5571.405033238366,7533.469662921348,4025.172898799314,9148.833528265108,8827.897300855826,2166.328917609047,3845.7486070140935,10175.288021680217,7474.6800445930885,9689.0,994.1540579756193,14463.33312788906,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99986.22395171528,8303
5888,Milady 5888,3950.6326599326603,5253.359749272443,18550.796837944665,4731.20120967742,9098.287486672481,9643.21265666735,2166.328917609047,4491.675375634032,7594.420064724919,5214.8351111111115,9689.0,994.1540579756193,11770.160752351097,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99965.5241604155,8304
7315,Milady 7315,4276.0127551020405,6338.940572663425,4906.797281756404,4731.20120967742,6804.917500362476,9288.247773599842,2166.328917609047,6014.804049724466,5602.329573261713,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,27470.597600234123,3975.563593240439,99936.42368451544,8305
7095,Milady 7095,22477.73754789272,6338.940572663425,4841.002166064983,4091.136331938633,9098.287486672481,10264.300929469655,2166.328917609047,4491.675375634032,5470.10675990676,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,11490.639245929735,99924.78927362812,8306
8372,Milady 8372,9253.453470031547,5571.405033238366,4906.797281756404,4091.136331938633,16467.900350877193,9643.21265666735,2166.328917609047,3722.22349115711,7594.420064724919,7474.6800445930885,9689.0,994.1540579756193,11531.576412776414,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99923.74739418832,8307
1345,Milady 1345,3961.302835921675,5571.405033238366,18550.796837944665,4731.20120967742,9920.42189811879,7864.853958944282,2166.328917609047,8317.121389331915,8137.584048547897,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,11490.639245929735,99906.28931511044,8308
7479,Milady 7479,4276.0127551020405,5571.405033238366,8091.98551724138,4025.172898799314,7417.973131025762,8776.721084618981,2166.328917609047,4698.04964964965,5602.329573261713,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,26934.58593974175,3975.563593240439,99896.81095081249,8309
2537,Milady 2537,8943.12423780488,5571.405033238366,4906.797281756404,4025.172898799314,7485.409250398724,9038.71275878671,2166.328917609047,3754.380929525638,14222.277575757575,5214.8351111111115,9689.0,994.1540579756193,17066.73309090909,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99895.79042451513,8310
8501,Milady 8501,3950.6326599326603,6338.940572663425,4878.743866943868,4025.172898799314,7417.973131025762,9203.552505147563,2166.328917609047,3932.7564940506113,5602.329573261713,8308.287484510534,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,26934.58593974175,3975.563593240439,99880.71538309962,8311
